,Survived,Sex,Age
162,0,male,26.0
163,0,male,17.0
164,0,male,1.0
165,1,male,9.0
166,1,female,
167,0,female,45.0
168,0,male,
169,0,male,28.0
170,0,male,61.0
171,0,male,4.0
172,1,female,1.0
173,0,male,21.0
174,0,male,56.0
175,0,male,18.0
176,0,male,
177,0,female,50.0
178,0,male,30.0
179,0,male,36.0
180,0,female,
181,0,male,
182,0,male,9.0
183,1,male,1.0
184,1,female,4.0
185,0,male,
186,1,female,
187,1,male,45.0
188,0,male,40.0
189,0,male,36.0
190,1,female,32.0
191,0,male,19.0
192,1,female,19.0
193,1,male,3.0
194,1,female,44.0
195,1,female,58.0
196,0,male,
197,0,male,42.0
198,1,female,
199,0,female,24.0
200,0,male,28.0
201,0,male,
202,0,male,34.0
203,0,male,45.5
204,1,male,18.0
205,0,female,2.0
206,0,male,32.0
207,1,male,26.0
208,1,female,16.0
209,1,male,40.0
210,0,male,24.0
211,1,female,35.0
212,0,male,22.0
213,0,male,30.0
214,0,male,
215,1,female,31.0
216,1,female,27.0
217,0,male,42.0
218,1,female,32.0
219,0,male,30.0
220,1,male,16.0
221,0,male,27.0
222,0,male,51.0
223,0,male,
224,1,male,38.0
225,0,male,22.0
226,1,male,19.0
227,0,male,20.5
228,0,male,18.0
229,0,female,
230,1,female,35.0
231,0,male,29.0
232,0,male,59.0
233,1,female,5.0
234,0,male,24.0
235,0,female,
236,0,male,44.0
237,1,female,8.0
238,0,male,19.0
239,0,male,33.0
240,0,female,
241,1,female,
242,0,male,29.0
243,0,male,22.0
244,0,male,30.0
245,0,male,44.0
246,0,female,25.0
247,1,female,24.0
248,1,male,37.0
249,0,male,54.0
250,0,male,
251,0,female,29.0
252,0,male,62.0
253,0,male,30.0
254,0,female,41.0
255,1,female,29.0
256,1,female,
257,1,female,30.0
258,1,female,35.0
259,1,female,50.0
260,0,male,
261,1,male,3.0
262,0,male,52.0
263,0,male,40.0
264,0,female,
265,0,male,36.0
266,0,male,16.0
267,1,male,25.0
268,1,female,58.0
269,1,female,35.0
270,0,male,
271,1,male,25.0
272,1,female,41.0
273,0,male,37.0
274,1,female,
275,1,female,63.0
276,0,female,45.0
277,0,male,
278,0,male,7.0
279,1,female,35.0
280,0,male,65.0
281,0,male,28.0
282,0,male,16.0
283,1,male,19.0
284,0,male,
285,0,male,33.0
286,1,male,30.0
287,0,male,22.0
288,1,male,42.0
289,1,female,22.0
290,1,female,26.0
291,1,female,19.0
292,0,male,36.0
293,0,female,24.0
294,0,male,24.0
295,0,male,
296,0,male,23.5
297,0,female,2.0
298,1,male,
299,1,female,50.0
300,1,female,
301,1,male,
302,0,male,19.0
303,1,female,
304,0,male,
305,1,male,0.92
306,1,female,
307,1,female,17.0
308,0,male,30.0
309,1,female,30.0
310,1,female,24.0
311,1,female,18.0
312,0,female,26.0
313,0,male,28.0
314,0,male,43.0
315,1,female,26.0
316,1,female,24.0
317,0,male,54.0
318,1,female,31.0
319,1,female,40.0
320,0,male,22.0
321,0,male,27.0
322,1,female,30.0
323,1,female,22.0
324,0,male,
325,1,female,36.0
326,0,male,61.0
327,1,female,36.0
328,1,female,31.0
329,1,female,16.0
330,1,female,
331,0,male,45.5
332,0,male,38.0
333,0,male,16.0
334,1,female,
335,0,male,
336,0,male,29.0
337,1,female,41.0
338,1,male,45.0
339,0,male,45.0
340,1,male,2.0
341,1,female,24.0
342,0,male,28.0
343,0,male,25.0
344,0,male,36.0
345,1,female,24.0
346,1,female,40.0
347,1,female,
348,1,male,3.0
349,0,male,42.0
350,0,male,23.0
351,0,male,
352,0,male,15.0
353,0,male,25.0
354,0,male,
355,0,male,28.0
356,1,female,22.0
357,0,female,38.0
358,1,female,
359,1,female,
360,0,male,40.0
361,0,male,29.0
362,0,female,45.0
363,0,male,35.0
364,0,male,
365,0,male,30.0
366,1,female,60.0
367,1,female,
368,1,female,
369,1,female,24.0
370,1,male,25.0
371,0,male,18.0
372,0,male,19.0
373,0,male,22.0
374,0,female,3.0
375,1,female,
376,1,female,22.0
377,0,male,27.0
378,0,male,20.0
379,0,male,19.0
380,1,female,42.0
381,1,female,1.0
382,0,male,32.0
383,1,female,35.0
384,0,male,
385,0,male,18.0
386,0,male,1.0
387,1,female,36.0
388,0,male,
389,1,female,17.0
390,1,male,36.0
391,1,male,21.0
392,0,male,28.0
393,1,female,23.0
394,1,female,24.0
395,0,male,22.0
396,0,female,31.0
397,0,male,46.0
398,0,male,23.0
399,1,female,28.0
400,1,male,39.0
401,0,male,26.0
402,0,female,21.0
403,0,male,28.0
404,0,female,20.0
405,0,male,34.0
406,0,male,51.0
407,1,male,3.0
408,0,male,21.0
409,0,female,
410,0,male,
411,0,male,
412,1,female,33.0
413,0,male,
414,1,male,44.0
415,0,female,
416,1,female,34.0
417,1,female,18.0
418,0,male,30.0
419,0,female,10.0
420,0,male,
421,0,male,21.0
422,0,male,29.0
423,0,female,28.0
424,0,male,18.0
425,0,male,
426,1,female,28.0
427,1,female,19.0
428,0,male,
429,1,male,32.0
430,1,male,28.0
431,1,female,
432,1,female,42.0
433,0,male,17.0
434,0,male,50.0
435,1,female,14.0
436,0,female,21.0
437,1,female,24.0
438,0,male,64.0
439,0,male,31.0
440,1,female,45.0
441,0,male,20.0
442,0,male,25.0
443,1,female,28.0
444,1,male,
445,1,male,4.0
446,1,female,13.0
447,1,male,34.0
448,1,female,5.0
449,1,male,52.0
450,0,male,36.0
451,0,male,
452,0,male,30.0
453,1,male,49.0
454,0,male,
455,1,male,29.0
456,0,male,65.0
457,1,female,
458,1,female,50.0
459,0,male,
460,1,male,48.0
461,0,male,34.0
462,0,male,47.0
463,0,male,48.0
464,0,male,
465,0,male,38.0
466,0,male,
467,0,male,56.0
468,0,male,
469,1,female,0.75
470,0,male,
471,0,male,38.0
472,1,female,33.0
473,1,female,23.0
474,0,female,22.0
475,0,male,
476,0,male,34.0
477,0,male,29.0
478,0,male,22.0
479,1,female,2.0
480,0,male,9.0
481,0,male,
482,0,male,50.0
483,1,female,63.0
484,1,male,25.0
485,0,female,
486,1,female,35.0
487,0,male,58.0
488,0,male,30.0
489,1,male,9.0
490,0,male,
491,0,male,21.0
492,0,male,55.0
493,0,male,71.0
494,0,male,21.0
495,0,male,
496,1,female,54.0
497,0,male,
498,0,female,25.0
499,0,male,24.0
500,0,male,17.0
501,0,female,21.0
502,0,female,
503,0,female,37.0
504,1,female,16.0
505,0,male,18.0
506,1,female,33.0
507,1,male,
508,0,male,28.0
509,1,male,26.0
510,1,male,29.0
511,0,male,
512,1,male,36.0
513,1,female,54.0
514,0,male,24.0
515,0,male,47.0
516,1,female,34.0
517,0,male,
518,1,female,36.0
519,0,male,32.0
520,1,female,30.0
521,0,male,22.0
522,0,male,
523,1,female,44.0
524,0,male,
525,0,male,40.5
526,1,female,50.0
527,0,male,
528,0,male,39.0
529,0,male,23.0
530,1,female,2.0
531,0,male,
532,0,male,17.0
533,1,female,
534,0,female,30.0
535,1,female,7.0
536,0,male,45.0
537,1,female,30.0
538,0,male,
539,1,female,22.0
540,1,female,36.0
541,0,female,9.0
542,0,female,11.0
543,1,male,32.0
544,0,male,50.0
545,0,male,64.0
546,1,female,19.0
547,1,male,
548,0,male,33.0
549,1,male,8.0
550,1,male,17.0
551,0,male,27.0
552,0,male,
553,1,male,22.0
554,1,female,22.0
555,0,male,62.0
556,1,female,48.0
557,0,male,
558,1,female,39.0
559,1,female,36.0
560,0,male,
561,0,male,40.0
562,0,male,28.0
563,0,male,
564,0,female,
565,0,male,24.0
566,0,male,19.0
567,0,female,29.0
568,0,male,
569,1,male,32.0
570,1,male,62.0
571,1,female,53.0
572,1,male,36.0
573,1,female,
574,0,male,16.0
575,0,male,19.0
576,1,female,34.0
577,1,female,39.0
578,0,female,
579,1,male,32.0
580,1,female,25.0
581,1,female,39.0
582,0,male,54.0
583,0,male,36.0
584,0,male,
585,1,female,18.0
586,0,male,47.0
587,1,male,60.0
588,0,male,22.0
589,0,male,
590,0,male,35.0
591,1,female,52.0
592,0,male,47.0
593,0,female,
594,0,male,37.0
595,0,male,36.0
596,1,female,
597,0,male,49.0
598,0,male,
599,1,male,49.0
600,1,female,24.0
601,0,male,
602,0,male,
603,0,male,44.0
604,1,male,35.0
605,0,male,36.0
606,0,male,30.0
607,1,male,27.0
608,1,female,22.0
609,1,female,40.0
610,0,female,39.0
611,0,male,
612,1,female,
613,0,male,
614,0,male,35.0
615,1,female,24.0
616,0,male,34.0
617,0,female,26.0
618,1,female,4.0
619,0,male,26.0
620,0,male,27.0
621,1,male,42.0
622,1,male,20.0
623,0,male,21.0
624,0,male,21.0
625,0,male,61.0
626,0,male,57.0
627,1,female,21.0
628,0,male,26.0
629,0,male,
630,1,male,80.0
631,0,male,51.0
632,1,male,32.0
633,0,male,
634,0,female,9.0
635,1,female,28.0
636,0,male,32.0
637,0,male,31.0
638,0,female,41.0
639,0,male,
640,0,male,20.0
641,1,female,24.0
642,0,female,2.0
643,1,male,
644,1,female,0.75
645,1,male,48.0
646,0,male,19.0
647,1,male,56.0
648,0,male,
649,1,female,23.0
650,0,male,
651,1,female,18.0
652,0,male,21.0
653,1,female,
654,0,female,18.0
655,0,male,24.0
656,0,male,
657,0,female,32.0
658,0,male,23.0
659,0,male,58.0
660,1,male,50.0
661,0,male,40.0
662,0,male,47.0
663,0,male,36.0
664,1,male,20.0
665,0,male,32.0
666,0,male,25.0
667,0,male,
668,0,male,43.0
669,1,female,
670,1,female,40.0
671,0,male,31.0
672,0,male,70.0
673,1,male,31.0
674,0,male,
675,0,male,18.0
676,0,male,24.5
677,1,female,18.0
678,0,female,43.0
679,1,male,36.0
680,0,female,
681,1,male,27.0
682,0,male,20.0
683,0,male,14.0
684,0,male,60.0
685,0,male,25.0
686,0,male,14.0
687,0,male,19.0
688,0,male,18.0
689,1,female,15.0
690,1,male,31.0
691,1,female,4.0
692,1,male,
693,0,male,25.0
694,0,male,60.0
695,0,male,52.0
696,0,male,44.0
697,1,female,
698,0,male,49.0
699,0,male,42.0
700,1,female,18.0
701,1,male,35.0
702,0,female,18.0
703,0,male,25.0
704,0,male,26.0
705,0,male,39.0
706,1,female,45.0
707,1,male,42.0
708,1,female,22.0
709,1,male,
710,1,female,24.0
711,0,male,
712,1,male,48.0
713,0,male,29.0
714,0,male,52.0
715,0,male,19.0
716,1,female,38.0
717,1,female,27.0
718,0,male,
719,0,male,33.0
720,1,female,6.0
721,0,male,17.0
722,0,male,34.0
723,0,male,50.0
724,1,male,27.0
725,0,male,20.0
726,1,female,30.0
727,1,female,
728,0,male,25.0
729,0,female,25.0
730,1,female,29.0
731,0,male,11.0
732,0,male,
733,0,male,23.0
734,0,male,23.0
735,0,male,28.5
736,0,female,48.0
737,1,male,35.0
738,0,male,
739,0,male,
740,1,male,
741,0,male,36.0
742,1,female,21.0
743,0,male,24.0
744,1,male,31.0
745,0,male,70.0
746,0,male,16.0
747,1,female,30.0
748,0,male,19.0
749,0,male,31.0
750,1,female,4.0
751,1,male,6.0
752,0,male,33.0
753,0,male,23.0
754,1,female,48.0
755,1,male,0.67
756,0,male,28.0
757,0,male,18.0
758,0,male,34.0
759,1,female,33.0
760,0,male,
761,0,male,41.0
762,1,male,20.0
763,1,female,36.0
764,0,male,16.0
765,1,female,51.0
766,0,male,
767,0,female,30.5
768,0,male,
769,0,male,32.0
770,0,male,24.0
771,0,male,48.0
772,0,female,57.0
773,0,male,
774,1,female,54.0
775,0,male,18.0
776,0,male,
777,1,female,5.0
778,0,male,
779,1,female,43.0
780,1,female,13.0
781,1,female,17.0
782,0,male,29.0
783,0,male,
784,0,male,25.0
785,0,male,25.0
786,1,female,18.0
787,0,male,8.0
788,1,male,1.0
789,0,male,46.0
790,0,male,
791,0,male,16.0
792,0,female,
793,0,male,
794,0,male,25.0
795,0,male,39.0
796,1,female,49.0
797,1,female,31.0
798,0,male,30.0
799,0,female,30.0
800,0,male,34.0
801,1,female,31.0
802,1,male,11.0
803,1,male,0.42
804,1,male,27.0
805,0,male,31.0
806,0,male,39.0
807,0,female,18.0
808,0,male,39.0
809,1,female,33.0
810,0,male,26.0
811,0,male,39.0
812,0,male,35.0
813,0,female,6.0
814,0,male,30.5
815,0,male,
816,0,female,23.0
817,0,male,31.0
818,0,male,43.0
819,0,male,10.0
820,1,female,52.0
821,1,male,27.0
822,0,male,38.0
823,1,female,27.0
824,0,male,2.0
825,0,male,
826,0,male,
827,1,male,1.0
828,1,male,
829,1,female,62.0
830,1,female,15.0
831,1,male,0.83
832,0,male,
833,0,male,23.0
834,0,male,18.0
835,1,female,39.0
836,0,male,21.0
837,0,male,
838,1,male,32.0
839,1,male,
840,0,male,20.0
841,0,male,16.0
842,1,female,30.0
843,0,male,34.5
844,0,male,17.0
845,0,male,42.0
846,0,male,
847,0,male,35.0
848,0,male,28.0
849,1,female,
850,0,male,4.0
851,0,male,74.0
852,0,female,9.0
853,1,female,16.0
854,0,female,44.0
855,1,female,18.0
856,1,female,45.0
857,1,male,51.0
858,1,female,24.0
859,0,male,
860,0,male,41.0
861,0,male,21.0
862,1,female,48.0
863,0,female,
864,0,male,24.0
865,1,female,42.0
866,1,female,27.0
867,0,male,31.0
868,0,male,
869,1,male,4.0
870,0,male,26.0
871,1,female,47.0
872,0,male,33.0
873,0,male,47.0
874,1,female,28.0
875,1,female,15.0
876,0,male,20.0
877,0,male,19.0
878,0,male,
879,1,female,56.0
880,1,female,25.0
881,0,male,33.0
882,0,female,22.0
883,0,male,28.0
884,0,male,25.0
885,0,female,39.0
886,0,male,27.0
887,1,female,19.0
888,0,female,
889,1,male,26.0
890,0,male,32.0
