Age,Gender,Education,Employment_Type,Income,Loan_Amount,Credit_Score,Credit_Risk,Loan_Approved
35,Female,Postgraduate,Business,68244,711616,763,Low,No
28,Female,Postgraduate,Self-Employed,137217,829446,501,High,No
34,Male,Postgraduate,Salaried,134055,126256,624,Medium,Yes
43,Male,Postgraduate,Salaried,121268,411278,609,Medium,No
60,Male,Postgraduate,Salaried,125441,707011,585,High,No
41,Male,12th,Self-Employed,37347,231360,619,Medium,Yes
36,Male,12th,Self-Employed,36920,396874,626,Medium,Yes
38,Female,Graduate,Salaried,51822,468267,754,Low,No
44,Female,Postgraduate,Business,66659,339530,682,Medium,No
46,Female,Graduate,Self-Employed,60108,292634,515,High,No
45,Female,Graduate,Self-Employed,148955,983688,561,High,No
49,Male,Graduate,Salaried,109099,83787,657,Medium,Yes
35,Male,Graduate,Salaried,27967,595909,767,Low,Yes
21,Male,Graduate,Salaried,130719,652272,534,High,No
45,Female,Postgraduate,Salaried,31871,503008,766,Low,Yes
27,Female,Graduate,Salaried,114299,488469,563,High,Yes
29,Male,Graduate,Salaried,97452,870483,549,High,Yes
44,Male,Graduate,Salaried,94270,361955,754,Low,No
21,Female,Graduate,Salaried,53613,80447,648,Medium,No
28,Female,Graduate,Salaried,48179,178046,824,Low,Yes
44,Male,Graduate,Self-Employed,140465,789290,803,Low,No
31,Male,Graduate,Salaried,72188,566494,775,Low,No
37,Female,12th,Business,75099,735614,671,Medium,No
28,Male,12th,Business,55262,920477,700,Low,Yes
55,Male,Graduate,Salaried,98213,691147,823,Low,No
55,Male,Graduate,Salaried,137407,238490,534,High,No
53,Female,Graduate,Salaried,38268,457688,715,Low,No
25,Female,Graduate,Self-Employed,97866,554409,564,High,No
59,Female,Graduate,Self-Employed,106269,577759,507,High,Yes
48,Female,12th,Salaried,80545,288404,800,Low,No
27,Female,Postgraduate,Self-Employed,123483,694600,842,Low,No
29,Female,Graduate,Salaried,112822,566595,831,Low,Yes
28,Female,Graduate,Salaried,92146,801164,575,High,No
32,Male,Graduate,Self-Employed,91966,713689,673,Medium,Yes
54,Male,Postgraduate,Salaried,59922,215937,546,High,No
53,Male,Postgraduate,Self-Employed,99364,96850,514,High,No
43,Male,Graduate,Salaried,62913,366364,646,Medium,No
44,Male,Postgraduate,Business,117033,293306,525,High,No
57,Male,12th,Salaried,124792,143808,807,Low,No
55,Male,12th,Salaried,139425,551597,592,High,No
60,Female,Graduate,Self-Employed,75677,711757,731,Low,No
42,Female,Graduate,Salaried,122154,278981,520,High,No
47,Male,Postgraduate,Business,69841,572220,806,Low,No
55,Male,12th,Self-Employed,66332,740885,537,High,Yes
21,Female,Graduate,Self-Employed,112062,103072,775,Low,Yes
55,Male,Graduate,Self-Employed,139863,795466,656,Medium,No
57,Male,Graduate,Business,115694,658108,678,Medium,Yes
34,Female,Graduate,Business,45032,527746,631,Medium,No
23,Male,Graduate,Self-Employed,57846,73284,810,Low,No
21,Female,Graduate,Self-Employed,79474,133369,847,Low,Yes
25,Male,Graduate,Salaried,64936,861554,527,High,No
46,Female,Graduate,Salaried,49794,966781,759,Low,No
34,Female,Postgraduate,Self-Employed,81588,906985,575,High,No
59,Female,12th,Salaried,90984,787266,566,High,Yes
47,Male,Graduate,Salaried,70331,931220,841,Low,Yes
29,Female,Graduate,Salaried,114397,637100,693,Medium,No
35,Male,Graduate,Salaried,48141,320143,661,Medium,No
35,Male,Graduate,Self-Employed,29074,334580,846,Low,No
46,Male,Postgraduate,Business,26406,879395,756,Low,No
33,Male,Postgraduate,Salaried,117359,707456,571,High,Yes
52,Female,Graduate,Salaried,143279,573156,586,High,No
59,Female,12th,Business,43291,819097,761,Low,Yes
52,Male,Graduate,Salaried,61568,468495,713,Low,No
24,Male,Graduate,Business,117539,302164,652,Medium,No
50,Female,Graduate,Salaried,66851,945331,709,Low,No
57,Male,Postgraduate,Salaried,119942,819605,560,High,No
43,Female,12th,Business,74823,338345,767,Low,Yes
59,Male,12th,Salaried,43312,200787,761,Low,No
35,Male,Graduate,Self-Employed,63108,210381,717,Low,Yes
49,Female,Graduate,Business,86918,720438,782,Low,No
56,Male,Graduate,Salaried,54171,499830,635,Medium,Yes
33,Female,12th,Self-Employed,61779,579393,592,High,No
52,Male,Postgraduate,Business,88828,954098,608,Medium,No
27,Male,Postgraduate,Salaried,127315,406992,740,Low,Yes
42,Male,12th,Business,118723,839271,641,Medium,No
48,Female,Graduate,Self-Employed,32411,118920,790,Low,No
22,Male,Postgraduate,Self-Employed,122821,880051,736,Low,No
26,Male,Graduate,Self-Employed,137990,617109,839,Low,Yes
48,Male,12th,Salaried,77009,700024,811,Low,Yes
48,Male,12th,Business,35422,980997,676,Medium,Yes
40,Female,12th,Business,62468,591357,640,Medium,No
50,Female,Postgraduate,Self-Employed,52371,555659,688,Medium,No
31,Male,Postgraduate,Self-Employed,77022,57531,548,High,Yes
48,Female,12th,Self-Employed,91229,480267,801,Low,Yes
45,Male,12th,Salaried,119071,713096,689,Medium,Yes
59,Male,12th,Self-Employed,71196,713070,635,Medium,Yes
53,Male,12th,Self-Employed,100354,117155,542,High,No
21,Female,Postgraduate,Self-Employed,116774,981479,589,High,No
47,Female,Graduate,Self-Employed,116410,636712,794,Low,Yes
33,Female,Graduate,Salaried,46715,357747,840,Low,No
23,Female,12th,Salaried,47605,990756,744,Low,Yes
59,Female,Graduate,Salaried,119853,524013,691,Medium,No
26,Female,Graduate,Salaried,51174,182503,817,Low,No
28,Female,Graduate,Self-Employed,29956,779963,605,Medium,No
47,Female,12th,Self-Employed,124444,742841,809,Low,No
29,Female,Postgraduate,Self-Employed,96373,929005,732,Low,No
57,Male,Graduate,Salaried,89252,714917,764,Low,No
53,Female,12th,Self-Employed,81949,415446,843,Low,No
44,Female,Graduate,Salaried,82646,705522,536,High,No
35,Female,Postgraduate,Salaried,90017,69675,804,Low,No
52,Female,Postgraduate,Self-Employed,83037,123997,540,High,No
52,Female,Graduate,Business,109818,198087,516,High,Yes
44,Female,Graduate,Salaried,26548,536799,843,Low,Yes
32,Female,Postgraduate,Salaried,136981,569349,776,Low,Yes
59,Female,Graduate,Salaried,123141,805678,806,Low,No
22,Female,12th,Salaried,93294,190905,558,High,No
23,Female,Postgraduate,Self-Employed,129204,320040,682,Medium,No
57,Female,12th,Salaried,43177,476188,540,High,No
37,Male,Graduate,Salaried,44022,361877,538,High,No
22,Male,12th,Salaried,126297,825723,691,Medium,Yes
22,Female,12th,Salaried,140695,616088,766,Low,No
48,Female,Graduate,Salaried,25542,146044,646,Medium,No
43,Male,Postgraduate,Salaried,111012,317491,832,Low,No
57,Female,Graduate,Salaried,116320,764423,626,Medium,Yes
52,Male,12th,Salaried,80428,539066,545,High,No
53,Male,12th,Business,42740,708003,544,High,No
21,Male,Graduate,Salaried,79353,352929,500,High,No
39,Male,Postgraduate,Business,110353,855113,667,Medium,No
22,Male,Graduate,Salaried,133132,416008,607,Medium,No
46,Female,Graduate,Business,76532,983396,518,High,Yes
52,Male,Postgraduate,Self-Employed,36052,883731,831,Low,No
26,Female,Graduate,Self-Employed,120689,67073,571,High,No
52,Female,12th,Self-Employed,67076,938736,608,Medium,No
24,Male,Graduate,Salaried,73420,604970,767,Low,No
31,Male,Graduate,Salaried,20671,803158,739,Low,Yes
37,Female,Graduate,Salaried,20163,802254,800,Low,Yes
58,Male,Graduate,Self-Employed,61424,960734,589,High,No
44,Male,Postgraduate,Salaried,129538,457505,602,Medium,No
25,Female,Graduate,Salaried,73744,165359,749,Low,No
54,Female,Graduate,Self-Employed,90331,975431,507,High,Yes
26,Male,Graduate,Self-Employed,30634,116707,652,Medium,No
42,Female,Graduate,Self-Employed,24798,301351,846,Low,No
31,Male,Postgraduate,Self-Employed,42420,520670,673,Medium,No
36,Male,Graduate,Business,137043,288511,842,Low,Yes
53,Male,Graduate,Salaried,140575,285718,657,Medium,No
29,Female,Graduate,Salaried,147158,639716,714,Low,No
26,Female,Graduate,Salaried,49300,100601,676,Medium,Yes
36,Female,Graduate,Salaried,109881,445755,674,Medium,No
49,Female,Graduate,Business,30749,545479,839,Low,No
23,Female,Graduate,Salaried,124131,685775,837,Low,No
40,Male,Postgraduate,Self-Employed,45121,728029,645,Medium,No
56,Male,12th,Salaried,148563,514184,823,Low,Yes
39,Male,Graduate,Self-Employed,57487,463860,660,Medium,Yes
46,Male,12th,Self-Employed,113947,461961,626,Medium,No
23,Female,Postgraduate,Salaried,53361,301924,581,High,Yes
39,Male,Graduate,Salaried,41223,833441,646,Medium,No
40,Female,Postgraduate,Salaried,92930,864660,738,Low,Yes
52,Male,Graduate,Salaried,34056,573394,583,High,No
27,Female,Postgraduate,Salaried,48380,299430,612,Medium,No
53,Female,Postgraduate,Salaried,46035,477737,724,Low,No
60,Male,Postgraduate,Salaried,50620,172788,831,Low,No
59,Male,Postgraduate,Self-Employed,39877,671527,742,Low,No
38,Male,Graduate,Self-Employed,145481,601216,642,Medium,No
60,Male,Graduate,Self-Employed,75316,330466,540,High,Yes
21,Female,Graduate,Salaried,84041,500930,757,Low,No
31,Male,12th,Self-Employed,128940,400040,784,Low,No
48,Male,Graduate,Salaried,137360,112292,604,Medium,No
45,Female,Graduate,Salaried,73352,603343,701,Low,No
43,Male,Graduate,Business,50911,355035,806,Low,No
51,Male,Graduate,Salaried,52784,656200,830,Low,No
50,Male,Postgraduate,Self-Employed,23191,711948,765,Low,Yes
55,Male,Graduate,Self-Employed,53160,402680,709,Low,No
27,Male,Graduate,Salaried,110536,318448,550,High,No
36,Female,Postgraduate,Salaried,124576,581633,617,Medium,No
46,Male,Postgraduate,Salaried,84641,210372,700,Low,No
22,Male,Graduate,Business,69723,991763,538,High,Yes
21,Male,Postgraduate,Salaried,23631,141006,527,High,No
32,Male,Postgraduate,Salaried,26172,982856,758,Low,No
25,Male,Postgraduate,Salaried,62080,179350,583,High,No
57,Female,12th,Self-Employed,109097,738725,654,Medium,No
52,Male,Graduate,Salaried,110353,855878,616,Medium,No
29,Female,Graduate,Salaried,40281,838768,501,High,Yes
55,Female,12th,Self-Employed,48671,898464,592,High,No
39,Male,Graduate,Business,142811,256487,665,Medium,No
36,Male,Graduate,Salaried,71431,147852,849,Low,Yes
23,Male,Postgraduate,Salaried,110900,542092,795,Low,Yes
40,Male,12th,Salaried,142139,188593,757,Low,Yes
44,Female,Postgraduate,Self-Employed,127210,777067,580,High,Yes
53,Male,Graduate,Salaried,147734,728841,767,Low,No
44,Male,Graduate,Salaried,112961,330618,734,Low,No
31,Male,Postgraduate,Self-Employed,135463,227832,820,Low,Yes
28,Male,Graduate,Self-Employed,48602,892150,810,Low,No
56,Male,Graduate,Salaried,108789,356773,800,Low,Yes
58,Male,Postgraduate,Business,71399,95232,712,Low,No
60,Female,Graduate,Self-Employed,43472,398688,561,High,No
40,Female,12th,Salaried,69230,510385,548,High,No
55,Male,Postgraduate,Salaried,93616,833301,626,Medium,No
45,Male,Graduate,Business,27099,362813,722,Low,No
55,Male,Postgraduate,Salaried,138614,259093,778,Low,Yes
45,Female,Graduate,Salaried,45431,381328,793,Low,Yes
49,Male,Postgraduate,Salaried,76492,753305,783,Low,No
38,Female,12th,Self-Employed,116722,63140,776,Low,No
38,Male,Postgraduate,Salaried,67684,438612,606,Medium,No
22,Male,Postgraduate,Salaried,50111,657745,645,Medium,No
55,Male,12th,Salaried,125387,588645,598,High,No
36,Male,Graduate,Salaried,83936,573375,572,High,No
56,Female,Postgraduate,Self-Employed,42614,161672,621,Medium,No
53,Female,Graduate,Self-Employed,112260,380817,529,High,No
24,Male,12th,Salaried,61991,695961,687,Medium,No
53,Male,Graduate,Salaried,90476,639921,787,Low,No
34,Female,Graduate,Self-Employed,137959,782303,694,Medium,No
41,Female,Graduate,Salaried,80920,670399,655,Medium,Yes
40,Female,Graduate,Salaried,114294,914690,671,Medium,No
28,Female,Graduate,Business,83530,456140,834,Low,Yes
27,Male,12th,Self-Employed,56224,119286,540,High,No
23,Female,Graduate,Salaried,27788,143269,562,High,No
37,Male,Graduate,Salaried,48082,308635,522,High,Yes
53,Female,12th,Salaried,143287,124071,574,High,Yes
32,Female,Postgraduate,Salaried,109570,500542,547,High,No
42,Female,Graduate,Salaried,121015,271095,659,Medium,No
42,Female,Graduate,Salaried,96816,563317,812,Low,Yes
50,Female,Postgraduate,Salaried,103588,80651,617,Medium,No
58,Male,Graduate,Business,36531,120202,599,High,Yes
58,Male,Postgraduate,Self-Employed,108340,98777,666,Medium,No
28,Female,Graduate,Salaried,114439,198066,789,Low,No
47,Female,12th,Salaried,64857,903695,655,Medium,No
47,Male,Graduate,Self-Employed,30142,240706,506,High,No
54,Female,Graduate,Salaried,135053,674446,695,Medium,No
41,Female,Graduate,Salaried,68355,847232,555,High,No
50,Male,12th,Business,29866,874255,820,Low,Yes
53,Female,12th,Salaried,90067,813935,692,Medium,Yes
48,Female,Graduate,Self-Employed,130990,376022,546,High,Yes
53,Male,Graduate,Business,123634,330852,647,Medium,No
25,Male,Graduate,Salaried,123814,718179,774,Low,Yes
39,Male,Graduate,Salaried,145426,780265,656,Medium,No
24,Female,Graduate,Salaried,84027,638158,701,Low,No
55,Male,Graduate,Business,77906,583571,625,Medium,No
37,Male,Graduate,Business,48138,735933,804,Low,No
48,Male,Postgraduate,Self-Employed,112601,915139,793,Low,Yes
50,Male,Graduate,Salaried,49956,474149,563,High,No
49,Male,Postgraduate,Self-Employed,127268,580062,824,Low,No
26,Male,Graduate,Business,124797,253127,675,Medium,No
55,Female,Graduate,Self-Employed,144917,192055,615,Medium,No
57,Female,Postgraduate,Business,146303,670756,703,Low,Yes
44,Male,12th,Business,96295,932766,820,Low,No
49,Male,12th,Self-Employed,25439,854565,530,High,No
51,Male,Postgraduate,Self-Employed,67241,982443,612,Medium,Yes
55,Female,12th,Salaried,62533,575069,824,Low,No
53,Female,Postgraduate,Salaried,48270,164586,843,Low,Yes
41,Female,Graduate,Self-Employed,98815,499916,566,High,No
52,Female,Postgraduate,Salaried,59279,339768,574,High,Yes
43,Female,Graduate,Business,129787,581111,544,High,No
53,Female,Graduate,Business,43888,592777,759,Low,No
23,Female,Postgraduate,Self-Employed,37630,221033,653,Medium,No
38,Female,Graduate,Salaried,81063,562880,654,Medium,No
45,Female,Postgraduate,Salaried,138527,341262,733,Low,Yes
51,Male,12th,Salaried,143239,150417,550,High,No
23,Male,Graduate,Self-Employed,147896,131816,805,Low,Yes
60,Male,Graduate,Self-Employed,55144,727623,761,Low,No
44,Male,Graduate,Business,72161,325709,814,Low,No
52,Female,12th,Salaried,116718,725714,624,Medium,No
42,Female,Postgraduate,Business,145873,224023,744,Low,Yes
43,Male,Postgraduate,Business,111074,927611,529,High,No
22,Female,Postgraduate,Salaried,97360,597936,621,Medium,No
47,Male,12th,Business,70979,493945,624,Medium,No
22,Female,Graduate,Salaried,117661,91971,536,High,No
46,Male,Graduate,Salaried,26979,68658,669,Medium,Yes
37,Female,Graduate,Self-Employed,46189,71253,623,Medium,Yes
60,Female,Graduate,Salaried,62600,507382,534,High,No
53,Male,Graduate,Self-Employed,79560,229635,586,High,No
29,Female,Graduate,Self-Employed,98040,207462,633,Medium,Yes
59,Male,Graduate,Self-Employed,143257,400808,695,Medium,No
49,Male,Graduate,Salaried,81558,756938,773,Low,Yes
46,Male,12th,Salaried,106205,260097,700,Low,Yes
55,Male,12th,Self-Employed,26910,678138,784,Low,No
45,Female,12th,Salaried,77713,712212,576,High,No
44,Female,Postgraduate,Salaried,66857,570498,558,High,Yes
33,Female,12th,Salaried,54964,276058,625,Medium,No
27,Male,12th,Self-Employed,105667,707911,608,Medium,Yes
56,Female,Graduate,Salaried,45227,908379,723,Low,No
40,Male,Postgraduate,Self-Employed,25978,635289,777,Low,No
21,Female,Postgraduate,Self-Employed,107527,230231,567,High,Yes
28,Female,Postgraduate,Salaried,37153,172775,568,High,No
36,Female,Graduate,Salaried,79765,607531,664,Medium,No
34,Male,Graduate,Business,119084,727160,804,Low,No
32,Female,12th,Business,128212,912371,661,Medium,Yes
43,Female,Postgraduate,Business,59071,369972,841,Low,Yes
35,Male,Postgraduate,Business,132990,311716,808,Low,No
48,Female,Graduate,Salaried,89519,450455,842,Low,Yes
54,Male,Postgraduate,Salaried,29503,318854,541,High,No
22,Female,Graduate,Salaried,80703,464600,608,Medium,No
52,Male,Graduate,Salaried,84379,988542,550,High,No
43,Male,Postgraduate,Salaried,115457,221918,749,Low,Yes
42,Female,Postgraduate,Salaried,77866,269055,840,Low,Yes
45,Male,Graduate,Salaried,36905,350135,520,High,No
42,Male,Graduate,Self-Employed,65838,784417,799,Low,Yes
42,Male,12th,Self-Employed,145200,450187,638,Medium,Yes
26,Male,Graduate,Salaried,78279,472355,823,Low,Yes
35,Male,12th,Business,109489,921877,591,High,No
57,Male,Graduate,Salaried,46806,258139,779,Low,No
53,Female,Postgraduate,Business,65000,130257,624,Medium,Yes
28,Male,Graduate,Salaried,42168,527958,610,Medium,Yes
25,Male,Graduate,Business,90119,874143,638,Medium,Yes
59,Female,Graduate,Self-Employed,58714,56530,772,Low,No
24,Female,12th,Salaried,74093,323260,598,High,No
26,Female,Graduate,Salaried,75419,640082,751,Low,No
52,Female,12th,Salaried,69145,967786,837,Low,No
50,Female,12th,Salaried,125432,260545,603,Medium,No
55,Female,Graduate,Salaried,97425,707258,713,Low,No
60,Female,Postgraduate,Self-Employed,112949,578423,748,Low,No
36,Male,Graduate,Salaried,97811,974133,651,Medium,Yes
33,Male,12th,Self-Employed,22461,421616,749,Low,Yes
50,Female,Graduate,Business,34291,961579,774,Low,Yes
39,Male,Graduate,Salaried,66804,528336,664,Medium,No
37,Male,Graduate,Self-Employed,96971,825158,840,Low,No
39,Male,Graduate,Salaried,113471,663375,507,High,No
48,Female,Graduate,Self-Employed,84946,770391,783,Low,Yes
46,Female,Graduate,Salaried,118989,869812,504,High,No
57,Male,Graduate,Business,104080,966383,644,Medium,No
46,Female,Postgraduate,Business,141719,329215,600,Medium,Yes
43,Male,Graduate,Salaried,81332,70074,663,Medium,Yes
29,Male,Graduate,Salaried,97794,796084,646,Medium,No
32,Male,Graduate,Business,50841,642131,563,High,No
21,Male,Graduate,Self-Employed,144447,89901,590,High,Yes
21,Female,Postgraduate,Salaried,140029,323349,616,Medium,Yes
54,Female,Graduate,Salaried,68758,961093,766,Low,No
52,Female,Graduate,Self-Employed,134726,842338,809,Low,Yes
45,Male,Graduate,Salaried,96272,445807,672,Medium,No
60,Female,Graduate,Business,57643,962008,546,High,No
21,Male,Graduate,Salaried,70408,637275,639,Medium,No
36,Female,Postgraduate,Salaried,63950,392829,745,Low,No
59,Male,Graduate,Business,76849,422598,648,Medium,No
25,Male,Graduate,Salaried,120500,417631,745,Low,Yes
42,Male,Postgraduate,Salaried,48044,628688,504,High,No
49,Female,12th,Salaried,125469,206222,683,Medium,No
23,Female,12th,Salaried,145588,81852,519,High,No
32,Female,Graduate,Self-Employed,35997,563012,545,High,Yes
46,Female,Postgraduate,Salaried,99751,889188,511,High,No
36,Male,12th,Self-Employed,118605,427501,569,High,No
57,Female,12th,Self-Employed,43911,693340,516,High,Yes
42,Female,12th,Self-Employed,75533,106481,646,Medium,Yes
49,Male,12th,Salaried,102566,837715,653,Medium,Yes
34,Male,12th,Salaried,114870,83691,803,Low,No
48,Male,Graduate,Business,34571,444341,607,Medium,Yes
25,Female,Graduate,Self-Employed,128255,248137,735,Low,Yes
50,Male,Graduate,Self-Employed,149226,600458,807,Low,No
25,Male,Graduate,Salaried,114463,582726,569,High,No
32,Male,12th,Salaried,77941,856527,682,Medium,Yes
36,Female,Graduate,Self-Employed,78005,721514,749,Low,Yes
46,Male,Graduate,Business,106250,451220,727,Low,Yes
46,Female,Graduate,Self-Employed,78712,846184,601,Medium,Yes
41,Female,12th,Business,63541,105426,574,High,No
59,Male,Graduate,Self-Employed,43387,289968,715,Low,Yes
56,Male,Graduate,Salaried,113980,338963,702,Low,Yes
53,Female,Postgraduate,Salaried,68908,545384,691,Medium,No
50,Male,Graduate,Salaried,105457,928483,748,Low,No
57,Male,Graduate,Salaried,33057,571121,741,Low,No
43,Female,Graduate,Business,84028,205289,678,Medium,No
30,Female,Postgraduate,Salaried,130804,311501,718,Low,Yes
25,Male,12th,Salaried,139246,569165,581,High,No
56,Female,12th,Salaried,75731,269780,591,High,No
54,Male,Graduate,Salaried,44858,345138,674,Medium,No
51,Male,12th,Salaried,68689,720396,738,Low,No
30,Male,Postgraduate,Salaried,64638,782635,759,Low,Yes
39,Female,Postgraduate,Self-Employed,111598,147756,662,Medium,No
52,Male,Graduate,Salaried,122386,492632,547,High,Yes
21,Male,Graduate,Self-Employed,66486,977091,828,Low,No
25,Male,Postgraduate,Salaried,40567,145665,827,Low,No
24,Female,Postgraduate,Salaried,49739,706005,615,Medium,No
36,Female,Graduate,Salaried,77804,212002,836,Low,Yes
44,Female,Postgraduate,Self-Employed,128821,311691,836,Low,No
36,Female,Postgraduate,Self-Employed,23754,656123,724,Low,No
22,Female,Graduate,Salaried,47044,172232,827,Low,No
48,Male,12th,Salaried,87260,997594,646,Medium,No
52,Female,Graduate,Self-Employed,86912,792849,562,High,No
47,Female,Postgraduate,Salaried,145623,495358,793,Low,Yes
40,Female,12th,Salaried,28706,293051,822,Low,Yes
44,Male,Postgraduate,Business,28894,207547,824,Low,No
32,Female,12th,Self-Employed,38037,462104,512,High,Yes
55,Female,12th,Salaried,103986,618020,688,Medium,No
53,Male,Graduate,Business,101942,786983,786,Low,No
53,Female,12th,Self-Employed,71612,358449,707,Low,No
57,Male,Postgraduate,Salaried,49725,751397,613,Medium,Yes
32,Male,Postgraduate,Self-Employed,25926,583634,521,High,No
23,Male,Postgraduate,Self-Employed,124555,837019,848,Low,No
21,Male,Graduate,Salaried,29496,62763,713,Low,No
53,Male,12th,Salaried,76447,240237,670,Medium,No
60,Female,Graduate,Salaried,121604,812841,822,Low,Yes
30,Male,Graduate,Self-Employed,49806,906047,553,High,No
49,Male,Graduate,Salaried,108199,479332,797,Low,No
33,Female,Graduate,Business,61321,695275,819,Low,Yes
32,Male,Graduate,Self-Employed,142041,266823,625,Medium,Yes
51,Female,Graduate,Salaried,122031,141353,776,Low,No
22,Female,Postgraduate,Self-Employed,85095,271373,703,Low,No
55,Female,Postgraduate,Salaried,42656,407792,693,Medium,No
43,Male,Graduate,Self-Employed,75147,599844,668,Medium,No
37,Male,Graduate,Self-Employed,111396,895474,651,Medium,Yes
46,Male,Graduate,Salaried,69666,592387,534,High,Yes
28,Female,12th,Salaried,102368,421233,683,Medium,Yes
49,Male,Postgraduate,Salaried,58787,226168,785,Low,Yes
46,Male,Postgraduate,Salaried,133767,777346,556,High,No
30,Male,Graduate,Salaried,82946,718590,721,Low,Yes
46,Female,Graduate,Salaried,41727,472225,802,Low,No
54,Female,Graduate,Business,128351,252041,662,Medium,No
27,Male,Graduate,Salaried,115081,83866,518,High,No
24,Male,12th,Salaried,142721,155400,763,Low,No
31,Male,Postgraduate,Self-Employed,130058,920678,781,Low,No
49,Male,12th,Salaried,88056,389119,612,Medium,Yes
56,Female,Graduate,Business,23081,485071,826,Low,No
45,Female,Postgraduate,Self-Employed,54196,393701,529,High,Yes
41,Female,Graduate,Self-Employed,56735,187488,634,Medium,Yes
56,Female,Graduate,Salaried,124749,646804,566,High,No
30,Male,Graduate,Salaried,100102,236987,564,High,Yes
57,Male,12th,Salaried,99578,461274,791,Low,Yes
29,Male,Graduate,Business,45498,483934,524,High,No
44,Female,12th,Salaried,96865,344746,536,High,No
55,Male,Graduate,Salaried,51656,517874,500,High,No
55,Female,Postgraduate,Business,87695,521328,536,High,No
56,Female,12th,Salaried,57900,239139,640,Medium,Yes
38,Male,Postgraduate,Salaried,148392,208588,731,Low,No
59,Male,Postgraduate,Salaried,137235,703583,635,Medium,No
52,Male,12th,Business,104899,662257,687,Medium,No
44,Female,Postgraduate,Salaried,67701,706449,627,Medium,No
43,Male,Graduate,Self-Employed,128777,255735,700,Low,Yes
